i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power
1842,-2093,-1309,2272,-40.0,120.0,55.66,6000
1363,-1758,-1349,2612,-40.0,120.0,53.45,6000
1082,-1852,-753,2217,-40.0,120.0,48.11,6000
916,-1964,-523,2296,-40.0,120.0,47.15,6000
856,-1944,-321,2419,-40.0,120.0,46.53,6000
472,-2103,-407,1976,-40.0,120.0,44.02,6000
660,-2019,-528,2031,-40.0,120.0,45.53,6000
538,-1887,-539,1935,-40.0,120.0,43.99,6000
675,-1696,-546,1705,-40.0,120.0,42.9,6000
836,-1529,-764,1499,-40.0,120.0,40.82,6000
989,-1395,-460,1427,-40.0,120.0,40.82,6000
692,-1354,-461,1296,-40.0,120.0,40.82,6000
831,-1193,-489,1359,-40.0,120.0,39.62,6000
881,-1277,-566,1360,-40.0,120.0,40.68,6000
918,-994,-628,1238,-40.0,120.0,39.3,6000
960,-998,-446,1322,-40.0,120.0,38.99,6000
701,-1140,-482,1027,-40.0,120.0,38.99,6000
742,-1007,-249,1237,-40.0,120.0,38.99,6000
