bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
43,4884,-4876,0.0,5,1090,13396585,13372675,0.0,15.0
43,4928,-4922,0.0,5,1090,13396585,13372675,0.0,15.0
43,4909,-4906,0.0,5,1090,13396585,13372675,0.0,15.0
43,4903,-4876,0.0,5,1090,13396585,13372675,0.0,15.0
43,4917,-4849,0.0,5,1090,13396585,13372675,0.0,15.0
43,4894,-4853,0.0,5,-169,13396569,13372675,-0.023,-15.0
43,4882,-4855,0.0,5,-1088,13396402,13372675,-0.18,-15.0
43,4875,-4887,0.0,5,-1085,13395676,13372675,-0.683,-15.0
43,4882,-4904,0.0,5,-1078,13393450,13372675,-1.951,-15.0
43,4882,-4885,0.0,5,-1075,13390307,13372675,-2.335,-15.0
43,4917,-4899,0.0,5,-1079,13387725,13372675,-1.71,-15.0
43,4909,-4906,0.0,5,-1089,13387145,13372675,-0.033,-15.0
43,4865,-4841,0.0,5,-1090,13387162,13372675,0.008,-15.0
43,4930,-4918,0.0,5,-1089,13387170,13372675,0.0,-15.0
43,4898,-4895,0.0,5,-1090,13387174,13372675,0.003,-15.0
43,4879,-4920,0.0,5,-1089,13387174,13372675,0.0,-15.0
43,4890,-4891,0.0,5,-1090,13387178,13372675,0.001,-15.0
43,4900,-4866,0.0,5,-1089,13387178,13372675,0.0,-15.0
43,4907,-4851,0.0,5,-1090,13387178,13372675,0.0,-15.0
43,4930,-4855,0.0,5,-1090,13387178,13372675,0.0,-15.0
43,4898,-4889,0.0,5,-1090,13387178,13372675,0.0,-15.0
43,4905,-4883,0.0,5,-1090,13387181,13372675,0.0,-15.0
43,4928,-4918,0.0,5,-415,13387205,13372675,0.021,15.0
43,4907,-4899,0.0,5,833,13387429,13372675,0.168,15.0
43,4898,-4878,0.0,5,1088,13387677,13372675,0.24,15.0
43,4911,-4885,0.0,5,1082,13389107,13372675,1.267,15.0
43,4863,-4897,0.0,5,1076,13391925,13372675,2.17,15.0
43,4869,-4876,0.0,5,1080,13394129,13372675,1.603,15.0
43,4863,-4880,0.0,5,1083,13395784,13372675,1.099,15.0
43,4886,-4889,0.0,5,1088,13396457,13372675,0.266,15.0
43,4867,-4878,0.0,5,1090,13396455,13372675,-0.007,15.0
43,4867,-4899,0.0,5,1089,13396455,13372675,0.0,15.0
43,4907,-4899,0.0,5,1090,13396455,13372675,0.0,15.0
43,4865,-4889,0.0,5,1090,13396455,13372675,0.0,15.0
43,4926,-4899,0.0,5,1090,13396455,13372675,0.0,15.0
43,4844,-4855,0.0,5,1090,13396455,13372675,0.0,15.0
43,4865,-4880,0.0,5,1090,13396455,13372675,0.0,15.0
43,4867,-4895,0.0,5,1090,13396455,13372675,0.0,15.0
43,4867,-4897,0.0,5,1090,13396455,13372675,0.0,15.0
43,4871,-4878,0.0,5,1090,13396455,13372675,0.0,15.0
43,4867,-4889,0.0,5,1090,13396455,13372675,0.0,15.0
43,4871,-4920,0.0,5,1090,13396455,13372675,0.0,15.0
43,4875,-4904,0.0,5,1090,13396455,13372675,0.0,15.0
43,4844,-4874,0.0,5,1090,13396455,13372675,0.0,15.0
43,4915,-4895,0.0,5,1090,13396455,13372675,0.0,15.0
43,4905,-4891,0.0,5,1090,13396455,13372675,0.0,15.0
43,4900,-4868,0.0,5,1090,13396455,13372675,0.0,15.0
43,4907,-4901,0.0,5,1090,13396455,13372675,0.0,15.0
43,4909,-4920,0.0,5,1090,13396455,13372675,0.0,15.0
43,4838,-4883,0.0,5,1090,13396455,13372675,0.0,15.0
43,4905,-4906,0.0,5,1090,13396455,13372675,0.0,15.0
43,4877,-4885,0.0,5,1090,13396455,13372675,0.0,15.0
43,4898,-4883,0.0,5,1090,13396455,13372675,0.0,15.0
43,4905,-4910,0.0,5,640,13396455,13372675,0.0,-15.0
43,4905,-4927,0.0,5,-617,13396399,13372675,-0.071,-15.0
43,4894,-4910,0.0,5,-1088,13396145,13372675,-0.263,-15.0
